County,County Code,Deaths,Population,Crude Rate
"Scott County, IA",19163,13,173283,Unreliable
"Shelby County, IA",19165,Suppressed,11578,Suppressed
"Sioux County, IA",19167,Suppressed,34909,Suppressed
"Story County, IA",19169,Suppressed,98105,Suppressed
"Tama County, IA",19171,Suppressed,16904,Suppressed
"Taylor County, IA",19173,Suppressed,6191,Suppressed
"Union County, IA",19175,Suppressed,12359,Suppressed
"Van Buren County, IA",19177,Suppressed,7020,Suppressed
"Wapello County, IA",19179,Suppressed,35205,Suppressed
"Warren County, IA",19181,Suppressed,51056,Suppressed
"Washington County, IA",19183,Suppressed,22141,Suppressed
"Wayne County, IA",19185,Suppressed,6401,Suppressed
"Webster County, IA",19187,Suppressed,36277,Suppressed
"Winnebago County, IA",19189,Suppressed,10518,Suppressed
"Winneshiek County, IA",19191,Suppressed,20029,Suppressed
"Woodbury County, IA",19193,Suppressed,102539,Suppressed
"Worth County, IA",19195,Suppressed,7453,Suppressed
"Wright County, IA",19197,Suppressed,12690,Suppressed
"Allen County, KS",20001,Suppressed,12444,Suppressed
"Anderson County, KS",20003,Suppressed,7878,Suppressed
"Atchison County, KS",20005,Suppressed,16193,Suppressed
"Barber County, KS",20007,Suppressed,4472,Suppressed
"Barton County, KS",20009,Suppressed,26111,Suppressed
"Bourbon County, KS",20011,Suppressed,14653,Suppressed
"Brown County, KS",20013,Suppressed,9598,Suppressed
"Butler County, KS",20015,Suppressed,66765,Suppressed
"Chase County, KS",20017,Suppressed,2629,Suppressed
"Chautauqua County, KS",20019,Suppressed,3309,Suppressed
"Cherokee County, KS",20021,Suppressed,20015,Suppressed
"Cheyenne County, KS",20023,Suppressed,2660,Suppressed
"Clark County, KS",20025,Suppressed,2005,Suppressed
"Clay County, KS",20027,Suppressed,7997,Suppressed
"Cloud County, KS",20029,Suppressed,8729,Suppressed
"Coffey County, KS",20031,Suppressed,8233,Suppressed
"Comanche County, KS",20033,Suppressed,1748,Suppressed
"Cowley County, KS",20035,Suppressed,35218,Suppressed
"Crawford County, KS",20037,Suppressed,39019,Suppressed
"Decatur County, KS",20039,Suppressed,2871,Suppressed
"Dickinson County, KS",20041,Suppressed,18717,Suppressed
"Doniphan County, KS",20043,Suppressed,7682,Suppressed
"Douglas County, KS",20045,Suppressed,121436,Suppressed
"Edwards County, KS",20047,Suppressed,2849,Suppressed
"Elk County, KS",20049,Suppressed,2508,Suppressed
"Ellis County, KS",20051,Suppressed,28710,Suppressed
